textid	text	daily_dose	dose_number	dose_unit	dose_frequency	dose_interval	choice_of_dose	dose_max_average	change_dose	dose_duration
15104	"ADSORBED"	0	0	""	0	0	0	0	0	0
15105	"20 ML THREE TIMES A DAY"	60	20	"ML"	3	1	0	0	0	0
15106	"TAKE ONE MORNING AND ONE AT NIGHT"	2	1	""	2	1	0	0	0	0
15107	"FPC"	0	0	""	0	0	0	0	0	0
15108	"1 THREE TIMES A DAY AS NEEDED FOR NAUSEA"	3	1	""	3	1	2	0	0	0
15109	"1 NCOTE"	1	1	""	1	1	0	0	0	0
15110	"2PUFS TWICE A DAY"	4	2	"PUFF"	2	1	0	0	0	0
15111	"APPLY FREQUENTLY AS REQUIRED"	0	0	""	0	0	2	0	0	0
15112	"ONE OR TWO AS REQUIRED"	0	1.5	""	1	0	2	2	0	0
15113	"1 THREE TIMES A DAY USE WITH FOOD"	3	1	""	3	1	0	0	0	0
15114	"1O"	0	1	""	1	0	0	0	0	0
15115	"2 PUFFS WHEN REQUIRED IF ASTHMA POORLY CONTROLLED OR SEE DR IF USING MORE THAN 3 TIMES A WEEK"	0.8571429	2	"PUFF"	3	7	2	0	0	0
15116	"1 AND 1/2 DAILY"	2	2	""	1	1	0	0	0	0
15117	"16 DAILY"	16	16	""	1	1	0	0	0	0
15118	"1 IMMEDIATELY AS DIRECTED BATCH NUMBER N5906"	1	1	""	1	1	0	0	1	1
15119	"1 FOUR TIMES A DAY EVERY NIGHT ANTIBIOTIC EMPTY STOMACH"	4	1	""	4	1	0	0	0	0
15120	"10 MLS AFTER FOOD"	30	10	"ML"	3	1	0	0	0	0
15121	"1 DAILY WITH WATER AFTER BREAKFAST"	1	1	""	1	1	0	0	0	0
15122	"1 OR 2 PUFFS PRN"	0	1.5	"PUFF"	1	0	2	2	0	0
15123	"1 EVERY NIGHT INCREASING TO 2 EVERY NIGHT"	2	2	""	1	1	0	0	2	0
15124	"APPLY SPARINGLY EVERY DAY"	1	0	""	1	1	0	0	0	0
15125	"ONE AT 10PM"	1	1	""	1	1	0	0	0	0
15126	"BL8Z."	0	8	""	1	0	0	0	0	0
15127	"0.6MLS EVERY MORNING"	0.6	0.6	"ML"	1	1	0	0	0	0
15128	"2 PUFF(S) TWICE A DAY VIA A LRGE VOLUME SPACER DEVICE"	4	2	"PUFF"	2	1	0	0	0	0
15129	"THREE TIMES A DAY FOR PAIN"	3	0	""	3	1	0	0	0	0
15130	"TAKE 2 PUFFS TWICE DAILY"	4	2	"PUFF"	2	1	0	0	0	0
15131	"APPLY ONE DROP TO EACH EYE FOUR TIMES PER DAY WHEN REQUIRED"	8	1	"DROPS"	4	1	2	0	0	0
15132	"TAKE 4 IN THE MORNING"	4	4	""	1	1	0	0	0	0
15133	"1--2 SIX TO EIGHT HOURLY WHEN REQUIRED"	0	2	""	1	0	2	2	0	0
15134	"TAKE TWO TABLETS BD"	4	2	"TAB"	2	1	0	0	0	0
15135	"MIXED FLAVOURS ACBS"	0	0	""	0	0	0	0	0	0
15136	"1 EVERY DAY (DISPENSE WEEKLY)"	1	1	""	1	1	0	0	0	7
15137	"TOPPER"	0	0	""	0	0	0	0	0	0
15138	"NDS"	0	0	""	0	0	0	0	0	0
15139	"ONE AMPOULE TO BE GIVEN EVERY 3 MONTHS"	1.111111E-02	1	"AMP"	1	90	0	0	0	0
15140	"APPLY UP TO FOUR TIMES DAILY  WHEN NEEDED"	4	0	""	4	1	2	0	0	0
15141	"ONE OR TWO DOSES SPRAYED UNDER TONGUE WHEN REQUIRED FOR ANGINA"	0	1.5	""	1	0	2	2	0	0
15142	"B211."	0	0	""	0	0	0	0	0	0
15143	"3 IN THE MORNING AND 3 AT NIGHT"	6	3	""	2	1	0	0	0	0
15144	"5ML-10ML WHEN NECESSARY AFTER MEALS AND AT BEDTIME"	30	7.5	"ML"	4	1	1	2	0	0
15145	"TAKE 1 OR 2 AT NIGHT AS REQUIRED"	1.5	1.5	""	1	1	2	2	0	0
15146	"1 EVERY DAY WHEN REQUIRED FOR HAY FEVER"	1	1	""	1	1	2	0	0	0
15147	"ONE IN MORNING TWO AT NIGHT"	3	1	""	3	1	0	0	0	0
15148	"1 - 2 PUFFS PRN UP TO QID"	6	1.5	"PUFF"	4	1	2	1	0	0
15149	"USE AS DIRECTED BY GP"	0	0	""	0	0	0	0	0	0
15150	"2PF BD"	4	2	""	2	1	0	0	0	0
15151	"10ML AS NEEDED"	0	10	"ML"	1	0	2	0	0	0
15152	"THE SOLUTION DISSOLVED IN WATER"	0	0	""	0	0	0	0	0	0
15153	"10-20ML DAILY TO PREVENT CONSTIPATION  DRINK PLENTY OF FLUIDS"	15	15	"ML"	1	1	1	2	0	0
15154	"1 UPTO THREE TIMES A DAY"	3	1	""	3	1	0	1	0	0
15155	"ONE TABLET AT NIGHT AS DIRECTED"	1	1	"TAB"	1	1	0	0	0	0
15156	"EASI-BREATH"	0	0	""	0	0	0	0	0	0
15157	"2 PUFFS TWICE A DAY TO PREVENT ASTHMA"	4	2	"PUFF"	2	1	0	0	0	0
15158	"2 IMMEDIATELY THEN 1 WITH EACH LOOSE STOOL MAX 8 DAILY"	8	8	""	1	1	0	1	0	0
15159	"AS RQD"	0	0	""	0	0	0	0	0	0
15160	"1 OR 2 UP TO THREE TIMES A DAY WHEN REQUIRED"	4.5	1.5	""	3	1	2	1	0	0
15161	"APPLY TO EACH EYE AT NIGHT"	2	0	""	1	1	0	0	0	0
15162	"TAKE ONE OR TWO EVERY 12 HRS"	3	1.5	""	1	0.5	1	2	0	0
15163	"60MG DAILY"	60	60	"MG"	1	1	0	0	0	0
15164	"3 - NIGHT"	3	3	""	1	1	0	0	0	0
15165	"FOUR EVERY NIGHT WHEN REQUIRED"	4	4	""	1	1	2	0	0	0
15166	"ONE TO THREE PUFFS  TWICE A DAY  REGULARLY  TO PREVENT WHEEZE DEVELOPING. REMEMBER TO DOUBLE  AND RE-DOUBLE DOSE FOR A WEEK IF PEAK FLOWS STARTS TO FALL. DON'T FORGET RE:- CIG SMOKE"	6	2	"PUFF"	3	1	1	2	0	7
15167	"MERIEUX 0.5"	0	0.5	""	1	0	0	0	0	0
15168	"APPLY DAILY TO AFFECTED AREA"	1	0	""	1	1	0	0	0	0
15169	"10-20ML PRN"	0	15	"ML"	1	0	2	2	0	0
15170	"ONE OR TWO PUFFS TO BE TAKEN WHEN REQUIRED"	0	1.5	"PUFF"	1	0	2	2	0	0
15171	"ONE EVERY DAY IN WATER"	1	1	""	1	1	0	0	0	0
15172	"1 TWICE A DAY WHEN REQUIRED FOR FOR PAIN"	2	1	""	2	1	2	0	0	0
15173	"USE EVERY OTHER DAY"	0.5	0	""	1	2	0	0	0	0
15174	".5 WELLCOME"	0	0.5	""	1	0	0	0	0	0
15175	"INSERT ONE AT NIGHT AS DIRECTED"	1	1	""	1	1	0	0	0	0
15176	"~~~~~~~~~"	0	0	""	0	0	0	0	0	0
15177	"1 TWICE A DAY :[60 DAYS]"	2	1	""	2	1	0	0	0	0
15178	"1 EVERY IN THE MORNING"	1	1	""	1	1	0	0	0	0
15179	"TAKE 1 OR 2 4 TIMES/DAY AS REQUIRED FOR PAIN"	6	1.5	""	4	1	2	2	0	0
15180	"0.5ML SC"	0	0.5	"ML"	1	0	0	0	0	0
15181	"1 AS DIRECTED WHEN REQUIRED"	0	1	""	1	0	2	0	0	0
15182	"ONE TABLET TO BE TAKEN IN THE MORNING & ONE TABLET AT 5PM"	2	1	"TAB"	2	1	0	0	0	0
15183	"TAKE ONE AT NIGHT P.R.N."	1	1	""	1	1	2	0	0	0
15184	"TAKE 4 EACH MORNING"	4	4	""	1	1	0	0	0	0
15185	"TWO DROPS TO EACH EYE EVERY FOUR HOURS"	24	2	"DROPS"	1	0.1666667	0	0	0	0
15186	"HALF EACH DAY"	0.5	0.5	""	1	1	0	0	0	0
15187	"TAKE ONE EACH EVENING/REGULARLY"	1	1	""	1	1	0	0	0	0
15188	"TAKE ONE AT NIGHT ONLY WHEN REQUIRED"	1	1	""	1	1	2	0	0	0
15189	"THREE TIMES A DAY AS NECESSARY"	3	0	""	3	1	0	0	0	0
15190	"ONCE DAILY: QUANTITY PRESCRIBED (NON-NUMERIC)=28X2:"	1	0	""	1	1	0	0	0	0
15191	"TO BE APPLIED PER RECTUM THREE TIMES A DAY"	3	0	""	3	1	0	0	0	0
15192	"APPLY TO SKIN"	0	0	""	0	0	0	0	0	0
15193	"6 5 4 3 2 1"	0	6	""	1	0	0	0	0	0
15194	"TO RIGHT EYE EVERY DAY"	1	0	""	1	1	0	0	0	0
15195	"~~~~~~~"	0	0	""	0	0	0	0	0	0
15196	"2TABS AT NIGHT"	2	2	"TAB"	1	1	0	0	0	0
15197	"FLOUR"	0	0	""	0	0	0	0	0	0
15198	"20MLS FOUR TIMES A DAY WHEN REQUIRED"	80	20	"ML"	4	1	2	0	0	0
15199	"8 EVERY DAY AFTER FOOD"	8	8	""	1	1	0	0	0	0
15200	"1 TABS IN THE MORNING"	1	1	"TAB"	1	1	0	0	0	0
15201	"2 EVERY 6 HOURS"	8	2	""	1	0.25	0	0	0	0
15202	"APPLY THREE OR FOUR TIMES A DAY IF REQUIRED"	3.5	0	""	3.5	1	2	2	0	0
15203	"ONE DAILY AS SHOWN ON THE PACK"	1	1	""	1	1	0	0	0	0
15204	"10ML 4 TIMES/DAY P.R.N."	40	10	"ML"	4	1	2	0	0	0
15205	"EVERY OTHER HOUR"	0.5	0	""	1	2	0	0	0	0
15206	"5ML 4 HOURLY"	30	5	"ML"	1	0.1666667	0	0	0	0
15207	"TAKE ONE DAILY (FOR YOUR BLOOD PRESSURE)"	1	1	""	1	1	0	0	0	0
15208	"ONE TABLET EVERY NIGHT FOR CRAMP"	1	1	"TAB"	1	1	0	0	0	0
15209	"TWO TO BE TAKEN AT TIME EVERY DAY"	2	2	""	1	1	0	0	0	0
15210	"TAKE ONE DAILY AFTER TEA"	1	1	""	1	1	0	0	0	0
15211	"10-20MLS EVERY DAY TO PREVENT CONSTIPATION WHEN REQUIRED"	15	15	"ML"	1	1	2	2	0	0
15212	"LOCAL THREE TIMES A DAY"	3	0	""	3	1	0	0	0	0
15213	"ONE PUFF TWICE DAILY [ACCUHALER]"	2	1	"PUFF"	2	1	0	0	0	0
15214	"ONE TO BE TAKEN EVERY NIGHT TO LOWER CHOLESTEROL"	1	1	""	1	1	0	0	0	0
15215	"APPLY EVERY 12 HOURS"	2	0	""	1	0.5	0	0	0	0
15216	"1-2 TABLETS IN WATER EVERY 4-6 HOURS (MAXIMUM 8 TABLETS DAILY)"	7.2	1.5	"TAB"	1	0.2083333	1	2	0	0
15217	"ONE BY MOUTH"	0	1	""	1	0	0	0	0	0
15218	"INHALE 2 PUFFS TWICE A DAY. RINSE MOUTH WITH WATER AFTER USE"	4	2	"PUFF"	2	1	0	0	0	0
15219	"BATCH ~~~~~-~ EXP ~~.~~.~~ AVENTIS PASTEUR ~~~"	0	0	""	0	0	0	0	0	0
15220	"TO BE APPLIED TO RIGHT EYE EVERY NIGHT"	1	0	""	1	1	0	0	0	0
15221	"1MORN"	1	1	""	1	1	0	0	0	0
15222	"ONE DROP ONCE DAILY TO R EYE"	1	1	"DROPS"	1	1	0	0	0	0
15223	"10MLS 4HRLY WHEN REQUIRED"	60	10	"ML"	1	0.1666667	2	0	0	0
15224	"1 OD MDS"	1	1	""	1	1	0	0	0	0
15225	"4 EVERY WEEK"	0.5714286	4	""	1	7	0	0	0	0
15226	"2TDS/PRN"	6	2	""	3	1	2	0	0	0
15227	"ONE CAPSULE EVERY DAY FOR BP"	1	1	"CAP"	1	1	0	0	0	0
15228	"TAKE ONE EVERY DAY FOR URINARY SYMPTOMS"	1	1	""	1	1	0	0	0	0
15229	"1OD AS DIRECTED"	1	1	""	1	1	0	0	0	0
15230	"ONE DOSE THREE TIMES A DAY"	3	1	""	3	1	0	0	0	0
15231	"NOT GENERIC"	0	0	""	0	0	0	0	0	0
15232	"1-2 PUFF(S) DISSOLVED UNDER THE TONGUE WHEN REQUIRED FOR CHESTPAIN"	0	1.5	"PUFF"	1	0	2	2	0	0
15233	"1 EVERY NIGHT (FOR PAIN)"	1	1	""	1	1	0	0	0	0
15234	"TAKE ONE 3 TIMES/DAY WHEN REQUIRED FOR FOR PAIN"	3	1	""	3	1	2	0	0	0
15235	"APPLY DAILY AS NEEDED"	1	0	""	1	1	2	0	0	0
15236	"1 OR 2 TABS UP TO QID"	6	1.5	"TAB"	4	1	1	1	0	0
15237	"INHALE 2 PUFFS FOUR TIMES A DAY AS NEEDED"	8	2	"PUFF"	4	1	2	0	0	0
15238	"TAKE ONE 3 TIMES/DAY 7 DAYS"	3	1	""	3	1	0	0	0	0
15239	"1 OR 2 CAPS TWICE DAILY"	3	1.5	"CAP"	2	1	1	2	0	0
15240	"1 OT 2 TABLETS FOUR TIMES A DAY ONLY IF REQUIRED  PLEASE DO NOT TAKE MORE THAN 8 TABLETS IN 24 HOURS"	16	2	"TAB"	8	1	2	0	0	0
15241	"ONE EVERY 72 HRS"	0.3333333	1	""	1	3	0	0	0	0
15242	"62MM"	0	62	""	1	0	0	0	0	0
15243	"REDUCE AS DIRECTED"	0	0	""	0	0	0	0	0	0
15244	"1-2 FOUR TIMES A DAY WHEN REQUIRED PAIN"	6	1.5	""	4	1	2	2	0	0
15245	"THREE DROPS THREE TIMES A DAY TO EACH EAR"	18	3	"DROPS"	3	1	0	0	0	0
15246	"2 PUFF(S) EVERY NIGHT"	2	2	"PUFF"	1	1	0	0	0	0
15247	"TAKE ONE EACH MORNING. TO TREAT HIGH BLOOD PRESSURE/TO PREVENT ANGINA"	1	1	""	1	1	0	0	0	0
15248	"TAKE ONE OR TWO TABLETS 6 HOURLY WHEN REQUIRED FOR PAIN"	6	1.5	"TAB"	1	0.25	2	2	0	0
15249	"AEROSOL"	0	0	""	0	0	0	0	0	0
15250	"ONE TABLET(S) EVERY 4-6 HOURS WHEN REQUIRED. MAX 6 TABS IN 24 HOURS"	4.8	1	"TAB"	1	0.2083333	2	2	0	0
15251	"2 IN THE MORNING AND 2 IN THE EVENING"	4	2	""	2	1	0	0	0	0
15252	"1 ID"	0	1	""	1	0	0	0	0	0
15253	"- TWICE DAILY"	2	0	""	2	1	0	0	0	0
15254	"1 EVERY DAY  YEARLY BLOOD TESTS REQUIRED WITH THIS MEDICATION"	2.739726E-03	1	""	1	365	0	0	0	0
15255	"125GM"	0	125	"GRAM"	1	0	0	0	0	0
15256	"TAKE ONE ONCE DAILY AS DIRECTED"	1	1	""	1	1	0	0	0	0
15257	"3 HRLY"	8	0	""	1	0.125	0	0	0	0
15258	"APPLY TWICE DAILY FOR ECZEMA"	2	0	""	2	1	0	0	0	0
15259	"AS DIR ACBS"	0	0	""	0	0	0	0	0	0
15260	"~~~~"	0	0	""	0	0	0	0	0	0
15261	"TAKE ONE DAILY FOR BP CONTROL"	1	1	""	1	1	0	0	0	0
15262	"1 BD OR TDS"	2.5	1	""	2.5	1	1	2	0	0
15263	"TAKE ONE AT 8AM AND 2PM"	3	1	""	3	1	0	0	0	0
15264	"EVERY DAY (FOR BP)"	1	0	""	1	1	0	0	0	0
15265	"ONE DAILY PLEASE DISPENSE WEEKLY"	1	1	""	1	1	0	0	0	7
15266	"1 DAIL"	1	1	""	1	1	0	0	0	0
15267	"2 DROPS EVERY 2 HOURS AT FIRST REDUCING TO 2 DROPS FOUR TIMES A DAY R&L AS DIRECTED"	8	2	"DROPS"	1	0.25	0	0	2	0
15268	"1 ONCE DAILY :[100]"	1	1	""	1	1	0	0	0	0
15269	"TWO 5ML SPOONFULS TO BE TAKEN WHEN REQUIRED FOUR TIMES A DAY"	40	10	"ML"	4	1	2	1	0	0
15270	"2PUFFS QDS"	8	2	"PUFF"	4	1	0	0	0	0
15271	"TAKE ONE OR TWO AT NIGHT FOR CONSTIPATION"	1.5	1.5	""	1	1	1	2	0	0
15272	"1 DROP IN EACH EYE AT NIGHT"	2	1	"DROPS"	1	1	0	0	0	0
15273	"1 EVERY MORNING FOR MOOD"	1	1	""	1	1	0	0	0	0
15274	"2PRN MAX8/D"	8	8	""	1	1	2	1	0	0
15275	"TAKE ONE WEEKLY AS SHOWN ON THE PACK"	0.1428571	1	""	1	7	0	0	0	0
15276	"TWO OR THREE 5ML SPOONSFUL TO BE TAKEN AFTER FOOD"	37.5	12.5	"ML"	3	1	1	2	0	0
15277	"1-2 THREE TIMES DAILY WHEN REQUIRED"	4.5	1.5	""	3	1	2	2	0	0
15278	"ONE OR TWO TABLETS EVERY 4-6 HOURS PRN (FOR PAIN)"	7.2	1.5	"TAB"	1	0.2083333	2	2	0	0
15279	"TAKE ONE AT NIGHT. HAVE YOU HAD YOUR CHOLESTEROL CHECKED IN THE LAST 12 MONTHS? IF NOT PLEASE MAKE APPOINTMENT WITH THE PRACTICE NURSE"	1	1	""	1	1	0	0	0	0
15280	"TWO 5ML SPOONSFUL TO BE TAKEN TWICE A DAY WITH MEALS"	20	10	"ML"	2	1	0	0	0	0
15281	"5 OR 10 ML AT NIGHT WHEN REQUIRED"	7.5	7.5	"ML"	1	1	2	2	0	0
15282	"ONCE A DAY/AS NEEDED"	1	0	""	1	1	2	0	0	0
15283	"TWO PUFFS TWICE DAILY WHEN REQUIRED"	4	2	"PUFF"	2	1	2	0	0	0
15284	"10CMS"	0	10	""	1	0	0	0	0	0
15285	"1 WHEN REQUIRED FOR DIARRHOEA"	0	1	""	1	0	2	0	0	0
15286	"25 TIMES 20"	0	500	""	1	0	0	0	0	0
15287	"2 ALTERNATE DAYS"	1	2	""	1	2	0	0	0	0
15288	"TAKE 1-2 TABS AS REQUIRED AT NIGHT"	1.5	1.5	"TAB"	1	1	2	2	0	0
15289	"TAKE TWO TABLET TWICE A DAY"	4	2	"TAB"	2	1	0	0	0	0
15290	"TAKE ONE EACH MORNING DISP WKLY"	1.142857	1	""	1.142857	1	0	0	0	0
15291	"ONE A DAY  WITH FOOD  REGULARLY. TO THIN THE BLOOD."	1	1	""	1	1	0	0	0	0
15292	"1 TABLET(S) THREE TIMES A DAY WITH MEALS"	3	1	"TAB"	3	1	0	0	0	0
15293	"2 PUFFS TWICE DAILY: QUANTITY PRESCRIBED (NON-NUMERIC)=2XOP:"	4	2	"PUFF"	2	1	0	0	0	0
15294	"2.5ML SPOONSFUL TO BE TAKEN THREE TIMES A DAY"	7.5	2.5	"ML"	3	1	0	0	0	0
15295	"ONE AND HALF IN THE MORNING"	1.5	1.5	""	1	1	0	0	0	0
15296	"ONCE PER DAY"	1	0	""	1	1	0	0	0	0
15297	"DOSE AS DIRECTED BY DIABETES CLINIC"	0	0	""	0	0	0	0	0	0
15298	"ONE THREE TIMES A DAY FOR NAUSEA/SICKNESS"	3	1	""	3	1	0	0	0	0
15299	"5 ML FOUR TIMES A DAY AFTER FOOD WHEN REQUIRED AND AT NIGHT"	25	5	"ML"	5	1	2	0	0	0
15300	"10-20MLS FOUR TIMES A DAY WHEN REQUIRED (AFTER MEALS OR AT BEDTIME)"	37.5	15	"ML"	2.5	1	2	2	0	0
15301	"2 DROPS THREE TIMES A DAY TO EACH EAR"	12	2	"DROPS"	3	1	0	0	0	0
15302	"ONE DROP TO BE INSTILLED THREE TIMES DAILY TO BOTH EYES"	6	1	"DROPS"	3	1	0	0	0	0
15303	"THREE MANE"	3	3	""	1	1	0	0	0	0
15304	"ONE THREE TIMES DAILY AS NEEDED"	3	1	""	3	1	2	0	0	0
15305	"TAKE ONE CAPSULE DAILY. DO NOT TAKE INDIGESTION REMEDIES AT THE SAME TIME 'OF' DAY AS THIS MEDICATION."	1	1	"CAP"	1	1	0	0	0	0
15306	"HALF OR ONE 5ML SPOONSFUL TO BE TAKEN FOUR HOURLY AS REQUIRED"	22.5	3.75	"ML"	1	0.1666667	2	2	0	0
15307	"ONE OR TWO WHEN REQUIRED THREE TIMES A DAY AFTER FOOD"	4.5	1.5	""	3	1	2	1	0	0
15308	"5-10ML TDS"	22.5	7.5	"ML"	3	1	1	2	0	0
15309	"1 OR 2 SACHETS DAILY"	1.5	1.5	"SACHET"	1	1	1	2	0	0
15310	"1 AT NIGHT TO LOWER CHOLESTEROL AND LESSEN RISK OF STROKE"	1	1	""	1	1	0	0	0	0
15311	"APPLY AT NIGHT TO EACH EYE"	2	0	""	1	1	0	0	0	0
15312	"ONE DROP 3-4 TIMES DAILY TO THE AFFECTED EAR"	3.5	1	"DROPS"	3.5	1	1	2	0	0
15313	"INHALE 2 DOSES 6 HOURLY AS NEEDED"	8	2	""	1	0.25	2	0	0	0
15314	"1 TAB OD DISPENSE WEEKLY"	1	1	"TAB"	1	1	0	0	0	7
15315	"ONE TO BE TAKEN TWICE A DAY WITH FOOD"	2	1	""	2	1	0	0	0	0
15316	"2 TAB EVERY DAY"	2	2	"TAB"	1	1	0	0	0	0
15317	"1 AT NIGHT WHEN REQUIRED FOR SLEEP OR NOT RECOMMENDED FOR LONG TERM USE"	1	1	""	1	1	2	0	0	0
15318	"TAKE ONE TABLET(S) AT 6PM ACCORDING TO INR RESULT"	1	1	"TAB"	1	1	0	0	0	0
15319	"ONE WHEN REQUIRED SIX HOUR"	0	6	""	1	0	2	1	0	0
15320	"1OD PRN"	1	1	""	1	1	2	0	0	0
15321	"TO BE APPLIED THREE TIMES A DAY TO LEFT EYE"	3	0	""	3	1	0	0	0	0
15322	"ONE MORNING TWO AT NIGHT"	3	1	""	3	1	0	0	0	0
15323	"USE 3 WEEKLY"	0.4285714	0	""	1	7	0	0	0	0
15324	"THREE TO FOUR TIMES DAILY"	3.5	0	""	3.5	1	1	2	0	0
15325	"15 ML WHEN REQUIRED"	0	15	"ML"	1	0	2	0	0	0
15326	"TAKE ONE 3 TIMES/DAY AFTER FOOD PRN"	3	1	""	3	1	2	0	0	0
15327	"6 TABLET(S) DAILY"	6	6	"TAB"	1	1	0	0	0	0
15328	"TWO FOUR TIMES A DAY IF REQUIRED FOR FOR FOR PAIN  NO MORE THAN 8 IN 24 HOURS"	8	2	""	4	1	2	2	0	0
15329	"200MG DAILY"	200	200	"MG"	1	1	0	0	0	0
15330	"TAKE 1-2 TWICE DAILY"	3	1.5	""	2	1	1	2	0	0
15331	"TAKE .25 TABLET ONCE DAILY"	0.25	0.25	"TAB"	1	1	0	0	0	0
15332	"ONE EVERY DAY OR TWICE A DAY AFTER FOOD"	1.5	1	""	1.5	1	0	2	0	0
15333	"TAKE ONE TABLET UP TO THREE TIMES DAILY.FOR WEIGHT LOSS"	3	1	"TAB"	3	1	0	1	0	0
15334	"1 TABLET TWICE A DAY WITH FOOD"	2	1	"TAB"	2	1	0	0	0	0
15335	"10-20ML 4 TIMES/DAY WHEN REQUIRED"	60	15	"ML"	4	1	2	2	0	0
15336	"ONE AT NIGHT TO REDUCE CHOLESTEROL"	1	1	""	1	1	0	0	0	0
15337	"TAKE 2 TABLET(S) UP TO FOUR TIMES A DAY WHEN REQUIRED FOR PAIN"	8	2	"TAB"	4	1	2	1	0	0
15338	"40 ML EVERY DAY"	40	40	"ML"	1	1	0	0	0	0
15339	"TAKE TWO DAILY TO STRENGTHEN BONES"	2	2	""	1	1	0	0	0	0
15340	"50/50"	0	50	""	1	0	0	0	0	0
15341	"TAKE AS DIRECTED STOP ONLY ON DR'S ADVIV"	1	0	""	1	1	0	0	0	0
15342	"TAKE ONE IN THE MORNING BEFORE FOOD"	1	1	""	1	1	0	0	0	0
15343	"ONE EVERY MORNING AFTER BREAKFAST"	1	1	""	1	1	0	0	0	0
15344	"TO BE TAKEN AS PER INR RESULT"	0	0	""	0	0	0	0	0	0
15345	"ACCUCHEK"	0	0	""	0	0	0	0	0	0
15346	"TAKE ONE CAPSULE EVERY EIGHT HOURS (THREE TIMES A DAY) FOR 7 DAYS"	3	1	"CAP"	3	1	0	0	0	7
15347	"2 EVERY NIGHT AFTER FOOD"	2	2	""	1	1	0	0	0	0
15348	"TWICE EVERY DAY"	2	0	""	2	1	0	0	0	0
15349	"2 ACTUATIONS 2 TIMES/DAY"	4	2	""	2	1	0	0	0	0
15350	"THREE TIMES A DAY/WITH MEALS"	3	0	""	3	1	0	0	0	0
15351	"1/2 TABLET TWICE DAILY"	1	0.5	"TAB"	2	1	0	0	0	0
15352	"15 DAILY"	15	15	""	1	1	0	0	0	0
15353	"ONE OR TWO TO BE TAKEN FOUR TIMES A DAY WHEN REQUIRED FOR FOR FOR PAIN RELIEF."	6	1.5	""	4	1	2	2	0	0
15354	"1 DROP(S) TWICE A DAY"	2	1	"DROPS"	2	1	0	0	0	0
15355	"1 OR 2 EVERY NIGHT AS DIRECTED"	1.5	1.5	""	1	1	1	2	0	0
15356	"1-2PRNQDS FOR FOR FOR FOR PAIN"	6	1.5	""	4	1	2	1	0	0
15357	"5ML SPOONSFUL TO BE TAKEN THREE TIMES A DAY"	15	5	"ML"	3	1	0	0	0	0
15358	"3.75MLS TWICE A DAY"	7.5	3.75	"ML"	2	1	0	0	0	0
15359	"10 MLS AS REQUIRED"	0	10	"ML"	1	0	2	0	0	0
15360	"ONE DROP THREE TIMES A DAY TO LEFT EYE"	3	1	"DROPS"	3	1	0	0	0	0
15361	"TAKE ONE AT BEDTIME WHEN REQUIRED. TAKE ONLY IF ESSENTIAL FOR INSOMNIA."	1	1	""	1	1	2	0	0	0
15362	"TWICE A DAY TO RIGHT EYE AND TO LEFT EYE"	2	0	""	2	1	0	0	0	0
15363	"2 PUFFS FOUR TIMES A DAY AND WHEN REQUIRED"	8	2	"PUFF"	4	1	2	0	0	0
15364	"EVERY SIX HOUR WHEN REQUIRED"	4	0	""	1	0.25	2	0	0	0
15365	"2 PUFFS AS NECESSARY FOR RELIEF EVERY FORTNIGHT SYMPTOMS"	0.1428571	2	"PUFF"	1	14	0	0	0	0
15366	"10 ML SOS"	0	10	"ML"	1	0	0	0	0	0
15367	"ONE TO THREE TIMES A DAY"	2	0	""	2	1	1	2	0	0
15368	"TWO FOUR TIMES A DAY EVERY DAY WHEN REQUIRED"	8	2	""	4	1	2	0	0	0
15369	"TAKE FOUR AS DIRECTED"	0	4	""	1	0	0	0	0	0
15370	"1 EVERY MORNING  6 MONTHLY BLOOD PRESSURE CHECKS REQUIRED WITH THIS MEDICATOIN"	1.2	1	""	1.2	1	0	0	0	0
15371	"1 DAILY WITH FOOD FOR HEART ATTACK/STROKE PREVENTION"	1	1	""	1	1	0	0	0	0
15372	"1 TWICE OR THREE TIMES A DAY WITH MEALS FOR PAIN"	2.5	1	""	2.5	1	0	2	0	0
15373	"2.5ML THREE TIMES DAILY"	7.5	2.5	"ML"	3	1	0	0	0	0
15374	"APPLY TWICE A DAY BOTH EYES"	4	0	""	2	1	0	0	0	0
15375	"INHALE 2 DOSES TWICE DAILY AS DIRECTED"	4	2	""	2	1	0	0	0	0
15376	"TAKE TWO 5ML TEASPOONS Q.D.S. P.R.N."	40	10	"ML"	4	1	2	0	0	0
15377	"1 AM 1 PM"	2	1	""	2	1	0	0	0	0
15378	"2 AT NIGHT FOR DEPRESSION"	2	2	""	1	1	0	0	0	0
15379	"TAKE I TABLET DAILY FROM DAY 1 TO DAY 17  THEN ONE LARGE AND ONE SMALL FROM EACH BLISTER DAILY. DO NOT LEAVE A GAP BETWEEN PACKETS"	2	2	"TAB"	1	1	0	0	2	0
15380	"1 IN THE MORNING TWO AT NIGHT"	3	1	""	3	1	0	0	0	0
15381	"15ML. EVERY THREE HOURS  AS NECESSARY FOR HEARTBURN. MOPS UP ACID AND PUTS A BARRIER ON TOP OF STOMACH CONTENTS AND KEEPS ACID IN STOMACH  NOT COMING UP THE GULLET"	120	15	"ML"	1	0.125	0	0	0	0
15382	"TAKE HALF OR ONE AT NIGHT WHEN REQUIRED"	0.75	0.75	""	1	1	2	2	0	0
